ILCE_UAVT,District,ADI,Category,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,Capacity,AMBULANS,Nbhood,Latitude,Longitude
1622,SÝLÝVRÝ,Silivri Public Hospital Selimpaþa Ek Hizmet Binasý,Public Hospital,202. Cad. No:6 SELÝMPAÞA/SÝLÝVRÝ,0212 731 88 08,www.silivridh.saglik.gov.tr,Var,35,Var,SELÝMPAÞA,41.05433252,28.37936054
1604,SARIYER,Ýstinye Public Hospital Diyaliz Merkezi,Diyaliz Merkezi,Doktor Nurettin Cankat Sk. No:54 ÝSTÝNYE/SARIYER,0212 277 49 12 - 0212 323 44 44,www.idh.gov.tr,Var,,Var,ÝSTÝNYE,41.1148828,29.05549135
1327,FATÝH,Private Çapadent Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Turgut Özal Millet Cad. No:135 ÞEHREMÝNÝ/FATÝH,0212 587 71 71,www.capadent.net,,,,ÞEHREMÝNÝ,41.01530085,28.93256415
1327,FATÝH,Ýstanbul Haseki Eðitim ve Araþtýrma Hospitalsi 29 Mayýs Ek Hizmet Binasý,Research Hospital,29 Mayýs Sk. No:3 HIRKA-Ý ÞERÝF/FATÝH,0212 533 34 61 - 68,www.hasekieah.saglik.gov.tr,Var,125,Yok,HIRKA-Ý ÞERÝF,41.0204647,28.93751396
1327,FATÝH,Ýstanbul Üniversitesi-Cerrahpaþa Týp Fakültesi Nöroloji Bölümü,Policlinic,Koca Mustafapaþa Cad. No:53/2 CERRAHPAÞA/FATÝH,0212 414 30 00,http://cerrahpasa.istanbul.edu.tr,Yok,,,CERRAHPAÞA,41.00514598,28.94026861
1604,SARIYER,Private Acýbadem Mecial Center Zekeriyaköy,Mecial Center Private,Kardelen Cad. No:2 ZEKERÝYAKÖY/SARIYER,0212 201 56 56,www.acibadem.com.tr,Yok,,Yok,ZEKERÝYAKÖY,41.20556121,29.04183134
1604,SARIYER,Sarýyer 5 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Zekeriyaköy Cad. No:19 ZEKERÝYAKÖY/SARIYER,0212 202 85 95,,Yok,0,,ZEKERÝYAKÖY,41.19687663,29.02891332
1183,BEÞÝKTAÞ,Private Memorial Mecial Center Etiler,Mecial Center Private,Peker Sk. No:38 NÝSBETÝYE/BEÞÝKTAÞ,0212 324 99 99,www.memorial.com.tr,Yok,,Yok,NÝSBETÝYE,41.07612411,29.0210726
1183,BEÞÝKTAÞ,Animal Doctors Veteriner Kliniði,Veteriner,Muallim Naci Cad. No:49 ORTAKÖY/BEÞÝKTAÞ,0212 261 51 22,www.animaldoctors.com,,0,Yok,ORTAKÖY,41.04899568,29.02786454
1327,FATÝH,Private Paþa Dent Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Meyvacý Sk. No:1 SÝLÝVRÝKAPI/FATÝH,0212 529 80 12,,,,,SÝLÝVRÝKAPI,41.00416821,28.92865076
